조사년월일,측정지역,일일강수량
20210313,영등포구,0
20210312,영등포구,0
20210311,영등포구,0
20210310,영등포구,0
20210309,영등포구,0
20210308,영등포구,0
20210307,영등포구,0
20210306,영등포구,0
20210305,영등포구,0
20210304,영등포구,0
20210303,영등포구,0
20210302,영등포구,0.003
20210301,영등포구,0.424
20210228,영등포구,0
20210227,영등포구,0
20210226,영등포구,0
20210225,영등포구,0
20210224,영등포구,0
20210223,영등포구,0
20210222,영등포구,0
20210221,영등포구,0
20210220,영등포구,0
20210219,영등포구,0
20210218,영등포구,0
20210217,영등포구,0
20210215,영등포구,0.003
20210214,영등포구,0
20210213,영등포구,0
20210212,영등포구,0
20210211,영등포구,0
20210210,영등포구,0
20210209,영등포구,0
20210208,영등포구,0
20210207,영등포구,0
20210206,영등포구,0
20210205,영등포구,0
20210202,영등포구,0
20210201,영등포구,0.003
20210131,영등포구,0
20210130,영등포구,0
20210129,영등포구,0
20210128,영등포구,0.009
20210127,영등포구,0
20210126,영등포구,0.009
20210125,영등포구,0
20210124,영등포구,0
20210123,영등포구,0
20210122,영등포구,0
20210121,영등포구,0.06
20210120,영등포구,0
20210119,영등포구,0
20210118,영등포구,0
20210117,영등포구,0
20210116,영등포구,0
20210115,영등포구,0
20210114,영등포구,0
20210112,영등포구,0
20210111,영등포구,0
20210110,영등포구,0
20210109,영등포구,0
20210108,영등포구,0
20210107,영등포구,0
20210106,영등포구,0.013
20210105,영등포구,0
20210104,영등포구,0
20210103,영등포구,0
20210102,영등포구,0
20210101,영등포구,0
