날짜,평일/주말,평군온도,풍속,풍향,강수량,미세먼지농도,초미세먼지농도,이용건수
2021-12-22,0,2.2,1.6,250,0,31,17,6010
2021-12-23,0,2.7,2,270,0,40,25,6180
2021-12-24,0,-0.3,2.3,230,0,49,31,4619
2021-12-25,1,-11.7,2.9,290,0,20,10,1246
2021-12-26,1,-12.1,2.1,290,0,15,7,1138
2021-12-27,0,-7.6,1.8,270,0,31,19,3516
2021-12-28,0,-4.1,1.8,50,0,53,42,4222
2021-12-29,0,0.4,1.4,290,0,58,44,4129
2021-12-30,0,-3.9,2.9,320,0,29,15,3896
2021-12-31,0,-6.7,4.1,270,0,22,6,3304
2022-01-01,1,20,-4.3,1.5,0,26,14,2010
2022-01-02,1,290,-1.3,2.3,0.0017,34,23,2065
2022-01-03,0,250,-1.9,1.8,0,27,17,4356
2022-01-04,0,250,-2.5,2.4,0,31,19,4474
2022-01-05,0,50,-2.8,1.7,0,48,30,4665
2022-01-06,0,290,-2.2,2.3,0,51,33,4768
2022-01-07,0,250,-1.6,1.5,0,58,41,4836
2022-01-08,1,200,0.3,1.7,0,52,40,3306
2022-01-09,1,270,1.3,1.7,0,109,92,2724
2022-01-10,0,250,0.5,2,0.0051,83,72,4894
2022-01-11,0,290,-7.4,4,0.0011,29,19,3092
2022-01-12,0,290,-7.7,2.4,0,28,17,3647
2022-01-13,0,270,-6.4,3.3,0,31,13,3577
2022-01-14,0,180,-4.8,1.7,0,28,15,4040
2022-01-15,1,50,-1,1.9,0,43,27,3038
2022-01-16,1,250,-2,3.3,0,40,26,2445
2022-01-17,0,270,-5.8,2.2,0.0028,24,14,2892
2022-01-18,0,290,-5.6,2.3,0,35,20,3636
2022-01-19,0,320,-5.3,2.1,0.0096,43,32,2316
2022-01-20,0,320,-5,1.8,0,37,28,3539
2022-01-21,0,50,-2.7,1.8,0,37,27,4253
2022-01-22,1,290,0.3,1.7,0,54,43,3279
2022-01-23,1,250,2,1.7,0,62,47,3204
2022-01-24,0,70,4.6,3.5,0,26,17,5248
2022-01-25,0,270,2.8,2.3,0.004,29,19,4150
2022-01-26,0,320,1.3,2.2,0,55,43,5183
2022-01-27,0,290,-1.1,2.1,0,58,44,4918
2022-01-28,0,290,-2.7,2.8,0,33,20,4525
2022-01-29,1,320,-3.6,2.4,0,28,17,2507
2022-01-30,1,270,-2.8,2.2,0,31,18,2031
2022-01-31,1,250,-0.7,1.9,0.0068,29,20,1983
2022-02-01,1,270,-1.3,2.6,0.0096,41,35,894
2022-02-02,1,250,-3.4,2.4,0,29,23,2082
2022-02-03,0,270,-3.4,2.4,0,22,14,3735
2022-02-04,0,290,-5.2,3.1,0,22,13,3676
2022-02-05,1,270,-6.6,3.1,0,26,10,2214
2022-02-06,1,290,-3.9,2.5,0,22,11,2299
2022-02-07,0,290,-2.5,1.8,0,25,14,4354
2022-02-08,0,290,-0.1,1.9,0,27,18,4886
2022-02-09,0,290,1,1.8,0,35,24,5189
2022-02-10,0,320,1.4,2.3,0,47,34,5370
2022-02-11,0,250,2.9,1.8,0,79,66,5546
2022-02-12,1,270,4.8,1.7,0,85,71,4445
2022-02-13,1,320,4.8,1.8,0,57,42,4171
2022-02-14,0,270,2.5,2.9,0.0096,41,32,3805
2022-02-15,0,270,-4.7,3.8,0,33,23,3849
2022-02-16,0,270,-7.3,3.7,0,27,20,3473
2022-02-17,0,290,-6.2,2.5,0,29,19,3747
2022-02-18,0,270,-1.2,2,0,41,28,4634
2022-02-19,1,290,-1.7,2.9,0.0006,42,31,2645
2022-02-20,1,290,-4.8,4.1,0,28,14,2146
2022-02-21,0,270,-3,2.9,0.0006,26,14,4019
2022-02-22,0,320,-4.5,3.2,0,29,15,3951
2022-02-23,0,290,-5.6,2.6,0,26,13,3823
2022-02-24,0,320,-2.4,2.2,0,27,16,4327
2022-02-25,0,250,3,2.3,0,62,48,5009
2022-02-26,1,290,5.4,3.9,0.0062,64,45,2740
2022-02-27,1,250,3.7,2.8,0,43,22,4304
2022-02-28,0,200,6.8,1.5,0,39,17,6014
2022-03-01,1,250,5.8,2.3,0.0131,35,22,3736
2022-03-02,0,230,3.5,2.7,0,27,14,5809
2022-03-03,0,290,5.8,2.1,0,46,25,6389
2022-03-04,0,180,6.9,3.6,0,76,35,5996
2022-03-05,1,250,2.3,4.3,0,90,15,4277
2022-03-06,1,320,1.4,2.6,0,38,8,4002
2022-03-07,0,270,2.8,2,0,39,19,5835
2022-03-08,0,270,6,2,0,45,23,6657
2022-03-09,1,250,7.1,1.9,0,63,38,7437
2022-03-10,0,200,9.3,2.1,0,71,48,7105
2022-03-11,0,180,11.2,1.9,0,69,40,8057
2022-03-12,1,180,12.8,2.7,0.0148,67,42,6476
2022-03-13,1,320,11.7,1.9,0.2389,15,11,2991
2022-03-14,0,250,8.2,3.2,0.0494,17,11,3827
2022-03-15,0,250,7.2,2,0,42,33,7182
2022-03-16,0,290,10.3,2.1,0,62,40,7873
2022-03-17,0,50,10.7,2.7,0.0068,51,28,6275
2022-03-18,0,50,7.5,4.4,0,10,4,6305
2022-03-19,1,50,3.4,3,0.0829,7,3,2506
2022-03-20,1,230,5.4,2.6,0,23,17,5190
2022-03-21,0,320,5,2.4,0,27,16,6884
2022-03-22,0,270,7.1,2.2,0,35,25,7674
2022-03-23,0,250,6.2,2.3,0,32,20,6741
2022-03-24,0,200,8.2,1.8,0,40,27,7358
2022-03-25,0,50,12,2.6,0.0619,67,49,6351
2022-03-26,1,230,11.8,2.9,0.1124,10,6,4974
2022-03-27,1,320,8.1,3,0,28,12,7043
2022-03-28,0,270,8.2,2.1,0,29,13,8540
2022-03-29,0,270,9.7,2.1,0,34,16,9295
2022-03-30,0,50,10.8,1.8,0.0023,34,16,6935
2022-03-31,0,340,10.9,2.5,0,19,9,8881
2022-04-01,0,270,9.2,2.6,0,15,8,9551
2022-04-02,1,270,8.2,2.3,0,29,18,9374
2022-04-03,1,270,9.6,2.1,0,42,29,10271
2022-04-04,0,250,10.3,2.3,0,51,38,10052
2022-04-05,0,200,10.3,2.4,0,40,27,10388
2022-04-06,0,270,11.7,2.5,0,46,25,10982
2022-04-07,0,200,10.9,3.3,0,31,10,10801
2022-04-08,0,200,12.9,2.1,0,42,19,13461
2022-04-09,1,200,17.8,3,0.0028,44,21,15233
2022-04-10,1,270,18.2,2,0,37,19,15690
2022-04-11,0,230,19.6,2.4,0,34,18,14319
2022-04-12,0,290,19.3,2.8,0.0028,27,15,9915
2022-04-13,0,50,13.1,4.4,0.0074,17,8,7579
2022-04-14,0,50,13.2,4,0,14,6,9794
2022-04-15,0,290,13.3,3,0,19,8,11432
2022-04-16,1,270,13.2,2.5,0,34,19,11011
2022-04-17,1,270,14,2.3,0,48,28,11070
2022-04-18,0,250,15.2,2.4,0,54,33,11384
2022-04-19,0,250,15.2,2.4,0,60,37,11272
2022-04-20,0,230,15.7,2.3,0,62,43,12175
2022-04-21,0,200,16.3,2.8,0,46,27,11662
2022-04-22,0,230,15,3.5,0,48,23,9689
2022-04-23,1,110,17.7,1.7,0,53,35,11801
2022-04-24,1,270,18.5,2.3,0.0017,51,32,10844
2022-04-25,0,110,20,1.4,0.0074,51,33,10952
2022-04-26,0,290,21.9,3.1,0.0057,43,24,12338
2022-04-27,0,320,17.7,2.7,0,128,19,12668
2022-04-28,0,50,18.2,2.6,0,60,17,12532
2022-04-29,0,50,13.4,3.4,0.088,13,4,8729
2022-04-30,1,270,13,2.9,0,14,7,9733
2022-05-01,1,230,13.4,3.1,0,32,12,10079
2022-05-02,0,250,14.2,2.4,0,42,20,12546
