조사년월일,측정지역,일일강수량
20220515,강서구,0
20220514,강서구,0
20220513,강서구,0
20220512,강서구,0
20220511,강서구,0
20220510,강서구,0
20220509,강서구,0
20220508,강서구,0.006
20220507,강서구,0
20220506,강서구,0
20220505,강서구,0
20220504,강서구,0
20220503,강서구,0
20220502,강서구,0
20220501,강서구,0
20220430,강서구,0
20220429,강서구,0.107
20220428,강서구,0
20220427,강서구,0
20220426,강서구,0.003
20220425,강서구,0
20220424,강서구,0
20220423,강서구,0
20220422,강서구,0
20220421,강서구,0
20220420,강서구,0
20220419,강서구,0
20220418,강서구,0
20220417,강서구,0
20220416,강서구,0
20220415,강서구,0
20220414,강서구,0
20220413,강서구,0.006
20220412,강서구,0.006
20220411,강서구,0
20220410,강서구,0
20220409,강서구,0
20220408,강서구,0
20220407,강서구,0
20220406,강서구,0
20220405,강서구,0
20220404,강서구,0
20220403,강서구,0
20220402,강서구,0
20220401,강서구,0
20220331,강서구,0
20220330,강서구,0
20220329,강서구,0
20220328,강서구,0
20220327,강서구,0
20220326,강서구,0.098
20220325,강서구,0.058
20220324,강서구,0
20220323,강서구,0
20220322,강서구,0
20220321,강서구,0
20220320,강서구,0
20220319,강서구,0.075
20220318,강서구,0
20220317,강서구,0.006
20220316,강서구,0
20220315,강서구,0
20220314,강서구,0.04
20220313,강서구,0.222
20220312,강서구,0.023
20220311,강서구,0
20220310,강서구,0
20220309,강서구,0
20220308,강서구,0
20220307,강서구,0
20220306,강서구,0
20220305,강서구,0
20220304,강서구,0
20220303,강서구,0
20220302,강서구,0
20220301,강서구,0.014
20220228,강서구,0
20220227,강서구,0
20220226,강서구,0.003
20220225,강서구,0
20220224,강서구,0
20220223,강서구,0
20220222,강서구,0
20220221,강서구,0
20220220,강서구,0
20220219,강서구,0
20220218,강서구,0
20220217,강서구,0
20220216,강서구,0
20220215,강서구,0
20220214,강서구,0.003
20220213,강서구,0
20220212,강서구,0
20220211,강서구,0
20220209,강서구,0
20220208,강서구,0
20220207,강서구,0
20220206,강서구,0
20220205,강서구,0
20220203,강서구,0
20220202,강서구,0
20220131,강서구,0
20220130,강서구,0
20220129,강서구,0
20220128,강서구,0
20220127,강서구,0
20220126,강서구,0
20220125,강서구,0
20220124,강서구,0
20220123,강서구,0
20220122,강서구,0
20220121,강서구,0
20220119,강서구,0
20220118,강서구,0
20220117,강서구,0
20220116,강서구,0
20220115,강서구,0
20220114,강서구,0
20220113,강서구,0
20220112,강서구,0
20220111,강서구,0
20220110,강서구,0
20220109,강서구,0
20220108,강서구,0
20220107,강서구,0
20220106,강서구,0
20220105,강서구,0
20220104,강서구,0
20220103,강서구,0
20220101,강서구,0
20211231,강서구,0
20211230,강서구,0
20211229,강서구,0
20211228,강서구,0
20211227,강서구,0
20211226,강서구,0
20211225,강서구,0
20211224,강서구,0
20211223,강서구,0
20211222,강서구,0
20211221,강서구,0
20211220,강서구,0
20211218,강서구,0
20211217,강서구,0
20211216,강서구,0
20211215,강서구,0.014
20211214,강서구,0.006
20211213,강서구,0
20211212,강서구,0
20211211,강서구,0
20211210,강서구,0
20211209,강서구,0
20211208,강서구,0
20211207,강서구,0
20211206,강서구,0
20211205,강서구,0
20211204,강서구,0
20211203,강서구,0.006
20211202,강서구,0.003
20211201,강서구,0
20211130,강서구,0.153
20211129,강서구,0
20211128,강서구,0
20211127,강서구,0
20211126,강서구,0
20211125,강서구,0
20211124,강서구,0
20211123,강서구,0
20211122,강서구,0.006
20211121,강서구,0.035
20211120,강서구,0
20211119,강서구,0
20211118,강서구,0
20211117,강서구,0
20211116,강서구,0
20211114,강서구,0
20211113,강서구,0
20211112,강서구,0
