대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2021-08-16,1,27.3,2.3,50,0,19,11,10111
2021-08-17,0,25.9,2.4,50,0.007,16,8,7883
2021-08-18,0,24.3,2.8,50,0.154,12,4,9200
2021-08-19,0,26,2.6,50,0.016,15,7,11081
2021-08-20,0,26.6,2.3,50,0.039,19,10,10574
2021-08-21,1,23.8,2.7,50,0,14,7,3206
2021-08-22,1,24.4,2.1,250,0,24,15,10565
2021-08-23,0,22.4,2,50,0.005,25,15,3543
2021-08-24,0,23.4,2.9,50,0,12,5,3412
2021-08-25,0,25,1.8,160,0.003,18,7,8483
2021-08-26,0,25.5,2.5,230,0,38,20,10409
2021-08-27,0,22.4,1.3,290,0.311,34,17,6724
2021-08-28,1,23.6,1.8,270,0.01,34,18,11049
2021-08-29,1,23.7,1.6,270,0,29,18,9989
2021-08-30,0,24.2,1.4,270,0,42,27,10873
2021-08-31,0,20.5,2.3,50,0,31,20,1872
2021-09-01,0,21.4,2.9,50,0,6,1,9160
2021-09-02,0,23.5,2.1,50,0.037,13,4,11320
2021-09-03,0,24.3,2.4,70,0.091,14,5,12169
2021-09-04,1,23.2,2.7,50,0.002,10,3,12649
2021-09-05,1,23.1,3.2,50,0,10,4,11925
2021-09-06,0,22.3,3.2,70,0,17,7,6154
2021-09-07,0,19.6,2.3,50,0,9,5,1083
2021-09-08,0,22.2,1.7,270,0,11,4,11042
2021-09-09,0,23.5,1.5,20,0,26,13,11616
2021-09-10,0,23.6,1.9,20,0,33,19,11452
2021-09-11,1,24,1.7,20,0,32,22,11728
2021-09-12,1,24.2,1.8,270,0,25,15,11027
2021-09-13,0,24.8,2.4,50,0,26,15,11452
2021-09-14,0,24.6,2.6,50,0,21,9,11942
2021-09-15,0,23.6,3.6,70,0,14,6,11886
2021-09-16,0,22.9,2.6,50,0,14,5,11869
2021-09-17,0,23.5,3,50,0.159,12,3,12696
2021-09-18,1,23.9,1.6,50,0.054,13,4,11900
2021-09-19,1,23.7,1.9,50,0,14,7,10232
2021-09-20,1,23.7,2.7,90,0,13,5,9691
2021-09-21,1,22,2.9,180,0,21,12,7599
2021-09-22,1,20.2,2.7,250,0,13,6,10693
2021-09-23,0,20.9,2.4,270,0,18,7,12448
